ID	TS	SPA	MAT	NC	CS	SCORE	ACCEPTED	GENDER
1	0.132	-0.136	-1.593	2.427	3.137	679.333	SI	Maculino
2	1.462	1.696	-0.116	0.682	2.922	732.931	SI	Femenino
3	-1.214	-0.505	0.586	0.294	-0.874	565.737	SI	Maculino
4	-1.488	-2.254	-1.065	-1.272	-0.195	474.513	NO	Femenino
5	1.867	2.041	2.008	3.751	0.188	797.113	SI	Femenino
6	-0.572	0.686	-1.093	1.487	3.014	670.420	SI	Maculino
7	0.414	1.481	0.650	1.862	1.346	715.065	SI	Femenino
8	0.918	0.047	-0.318	1.965	-0.010	652.027	SI	Femenino
9	0.818	2.226	0.228	1.272	1.006	710.982	SI	Femenino
10	1.332	0.996	1.920	-0.235	1.841	717.080	SI	Femenino
11	2.882	2.236	3.413	2.593	0.236	827.225	SI	Maculino
12	-1.156	0.064	-0.829	-0.792	-1.354	518.672	NO	Maculino
13	3.669	3.200	-0.791	2.287	2.785	822.992	SI	Maculino
14	0.498	-0.248	1.402	1.467	2.058	703.533	SI	Femenino
15	-0.760	1.540	-1.173	0.658	-0.963	586.033	SI	Maculino
16	0.432	0.261	-1.389	-0.249	0.274	586.568	SI	Femenino
17	0.435	1.411	-0.891	0.094	-0.227	616.431	SI	Femenino
18	2.180	1.260	4.000	0.991	1.530	799.221	SI	Femenino
19	4.000	2.208	4.000	2.356	4.000	931.283	SI	Maculino
20	-0.847	-1.034	-0.637	0.668	0.329	569.588	SI	Femenino
21	-0.091	-0.164	-0.538	2.037	-0.050	623.895	SI	Maculino
22	-1.256	-2.650	-1.688	-2.454	-0.506	428.911	NO	Femenino
23	-0.295	0.176	-1.076	0.112	-2.170	534.944	NO	Maculino
24	-2.034	-1.480	-1.839	-2.462	-0.802	427.654	NO	Maculino
25	0.005	1.498	-0.129	0.430	0.930	654.666	SI	Maculino
26	1.477	1.240	-1.220	-1.041	-0.049	608.133	SI	Femenino
27	0.988	-0.941	-0.094	0.339	0.798	621.797	NO	Maculino
28	1.189	1.743	0.341	0.797	0.241	686.221	SI	Femenino
29	1.174	0.444	-0.233	0.083	-1.088	607.611	NO	Femenino
30	-0.130	-1.060	-0.812	0.536	1.561	601.907	NO	Maculino
31	-0.150	-0.742	-0.943	-1.581	0.531	542.279	SI	Maculino
32	0.267	2.292	-0.993	1.525	1.140	684.618	SI	Femenino
33	-1.301	-3.040	-1.733	-0.798	-2.316	416.237	NO	Maculino
34	3.677	1.238	0.551	1.521	1.951	778.781	SI	Maculino
35	-0.046	1.571	-0.617	1.363	2.756	700.531	SI	Maculino
